site,date,Factor.1,Factor.2,Factor.3,Factor.4,Factor.5,Factor.6,Factor.7
MIC,08/24/18 03:40,NA,NA,NA,NA,NA,NA,NA
MIC,08/31/18 03:40,NA,NA,NA,NA,NA,NA,NA
MIC,09/01/2018 04:19,NA,NA,NA,NA,NA,NA,NA
MIC,09/04/2018 03:58,0.81092,0.77812,0.8189,3.2208,0.060861,0.048332,0.91808
MIC,09/10/2018 04:26,1.0294,1.0222,2.3731,0.38303,0.59155,0.88578,0.52362
MIC,09/13/18 03:45,NA,NA,NA,NA,NA,NA,NA
MIC,09/18/18 03:55,1.6383,0.79235,0.3492,2.9677,0.34396,1.8362,0.62885
MIC,09/20/18 03:57,1.1137,1.8185,0.11516,3.4787,-0.2,1.7006,0.99654
MIC,09/21/18 03:33,1.055,0.38661,2.0155,0.84306,0.57515,4.7215,-0.2
MIC,09/25/18 03:55,0.94334,1.3386,0.39706,-0.016969,0.31962,3.3549,0.072422
MIC,09/27/18 03:32,NA,NA,NA,NA,NA,NA,NA
MIC,10/01/2018 03:57,1.5621,0.94841,0.25951,-0.096638,1.1008,0.49093,0.62972
MIC,10/05/2018 04:08,0.22115,0.91635,1.138,0.99128,1.3028,0.25558,0.28699
MIC,10/09/2018 03:58,0.98418,-0.19074,0.36926,2.7243,1.3406,1.7754,0.065542
MIC,10/11/2018 03:32,0.051292,0.1526,0.34368,0.54151,-0.041307,-0.0038427,-0.024587
MIC,10/16/18 03:55,0.38754,0.31097,0.5701,0.18207,0.050251,0.053475,0.095697
MIC,10/18/18 03:44,0.44015,0.416,0.93187,0.32121,0.25403,-0.021441,0.084392
MIC,10/20/18 04:35,NA,NA,NA,NA,NA,NA,NA
MIC,10/26/18 04:26,NA,NA,NA,NA,NA,NA,NA
MIC,10/31/18 03:44,0.61149,0.36852,0.64588,0.68634,0.12817,-0.18678,0.27594
MIC,11/01/2018 03:54,NA,NA,NA,NA,NA,NA,NA
MIC,11/07/2018 04:38,NA,NA,NA,NA,NA,NA,NA
MIC,11/09/2018 04:00,0.12105,0.014511,0.55155,0.76067,0.078596,0.094057,-0.049057
MIC,11/15/18 05:15,NA,NA,NA,NA,NA,NA,NA
MIC,11/16/18 06:12,1.0414,0.2728,1.2657,0.76322,0.86273,0.17074,-0.2
MIC,11/21/18 04:28,1.071,0.58787,1.1598,3.1139,0.46195,0.046396,-0.2
MIC,11/23/18 04:35,0.22931000000000001,1.0785,0.48146,2.1592,0.41616,1.1519,0.093051
MIC,11/29/18 04:00,0.49,0.74797,0.11463,0.10991,0.89785,0.65869,0.62547
MIC,11/30/18 04:00,1.2248000000000001,-0.094511,0.15806,3.2124,1.2307,0.53647,0.59834
MIC,12/03/2018 06:10,0.15291,0.639,0.47616000000000003,0.73698,0.11385,-0.079445,0.021313
MIC,12/06/2018 04:43,0.59084,1.5833,2.1056,4.2203,0.13176,-0.10453,-0.091581
MIC,12/09/2018 05:00,0.50686,1.9607,3.8461,4.2194,2.1115,-0.036383,0.21926
MIC,12/12/2018 03:52,NA,NA,NA,NA,NA,NA,NA
MIC,12/20/18 04:45,1.623,2.2988,0.83589,0.22418,0.63327,0.3919,0.81391
MIC,12/21/18 04:48,2.4777,-0.2,-0.2,4.1521,0.81008,0.93556,0.86852
MIC,12/22/18 05:15,NA,NA,NA,NA,NA,NA,NA
MIC,12/24/18 05:46,NA,NA,NA,NA,NA,NA,NA
MIC,12/28/18 06:07,1.0237,1.4045,0.66363,0.70926,0.58468,1.7166,0.054416
MIC,12/31/18 05:40,NA,NA,NA,NA,NA,NA,NA
MIC,01/03/2019 05:57,2.5441,0.59163,0.25588,2.3842,1.1485,0.23382,1.0882
MIC,01/07/2019 05:22,NA,NA,NA,NA,NA,NA,NA
MIC,01/11/2019 04:45,2.2033,2.9211,-0.2,1.3903,1.193,2.5086,1.348
MIC,01/12/2019 05:40,1.4961,1.7151,0.70101,0.14137,0.34773,1.3326,0.07164
MIC,01/16/19 04:45,2.3042,1.2279,-0.18403,1.3384,3.8207,0.54147,2.1422
MIC,01/21/19 04:43,NA,NA,NA,NA,NA,NA,NA
MIC,01/22/19 04:50,1.0671,1.6218,0.17136,0.095864,0.78049,0.63132,1.3058
MIC,01/28/19 04:42,2.1576,2.5352,0.3123,-0.13664,2.0816,4.3733,0.8626
MIC,01/31/19 04:36,NA,NA,NA,NA,NA,NA,NA
MIC,02/02/2019 05:05,NA,NA,NA,NA,NA,NA,NA
MIC,02/08/2019 04:47,1.518,1.3429,-0.16003,2.0521,0.59735,1.5046,0.88179
MIC,02/13/19 04:47,0.31666,1.8979,3.2047,4.0809,1.0848,-0.2,0.6894
MIC,02/15/19 04:52,NA,NA,NA,NA,NA,NA,NA
MIC,02/18/19 04:33,1.721,1.1003,1.3682,0.69788,0.93378,-0.2,1.1355
MIC,02/21/19 04:46,2.2883,-0.13237,0.73476,3.599,-0.092724,0.46049,1.7306
MIC,02/26/19 07:43,0.3451,0.35342,0.5601,0.51479,0.11419,0.21773,0.75897
MIC,02/28/19 09:34,0.98513,0.82065,0.057995,0.096151,1.4067,0.6748,1.5615
MIC,03/02/2019 10:34,1.1681,0.21958,1.0776,0.0021415,1.129,2.4511,0.51651
MIC,03/04/2019 07:01,0.2363,-0.032918,1.8831,0.17009,0.051161,0.3081,-0.2
MIC,03/09/2019 09:53,2.5787,0.67877,1.6518,0.28434,0.21867,2.1963,0.19795
MIC,03/11/2019 09:03,0.83783,0.6542,3.3513,2.2057,0.54481,-0.11073,1.4362
MIC,03/20/19 04:48,0.68956,3.334,2.8743,2.5354,-0.19477,-0.2,0.83059
MIC,03/21/19 09:30,NA,NA,NA,NA,NA,NA,NA
MIC,03/23/19 06:14,1.7186,0.85506,1.3582,-0.039294,0.96173,1.6762,0.71388
MIC,03/28/19 09:19,0.29332,0.79057,0.64472,1.9806,1.4737,-0.2,1.2984
MIC,03/31/19 04:58,0.56265,0.60419,0.79564,0.44321,1.4689,0.48755,0.8567
MIC,04/03/2019 09:14,2.4097,0.94635,0.056191,0.69367,1.4025,3.4799,1.8674
MIC,04/07/2019 08:25,NA,NA,NA,NA,NA,NA,NA
MIC,04/12/2019 07:43,1.4963,1.4819,0.31356,-0.12068,4.2555,2.5218,1.31
MIC,04/15/19 09:06,NA,NA,NA,NA,NA,NA,NA
MIC,04/16/19 09:24,0.81048,0.58905,0.60509,-0.068053,1.488,1.0688,1.7215
MIC,04/20/19 07:43,0.95034,1.9061,-0.019797,1.2614,3.4732,2.4382,1.2212
MIC,04/24/19 08:55,NA,NA,NA,NA,NA,NA,NA
MIC,04/27/19 05:32,NA,NA,NA,NA,NA,NA,NA
MIC,04/29/19 06:35,NA,NA,NA,NA,NA,NA,NA
MIC,05/05/2019 04:11,NA,NA,NA,NA,NA,NA,NA
MIC,05/06/2019 09:03,0.63248,1.4084,0.63399,0.32092,0.83517,2.7153,0.5258
MIC,05/11/2019 04:25,0.11847,0.50991,0.028396,0.051775,1.6399,1.1102,1.1341
MIC,05/14/19 09:27,NA,NA,NA,NA,NA,NA,NA
MIC,05/19/19 07:32,NA,NA,NA,NA,NA,NA,NA
MIC,05/22/19 09:15,NA,NA,NA,NA,NA,NA,NA
MIC,05/28/19 09:35,1.0646,0.51146,1.2248000000000001,0.05099,1.242,0.15144,1.8817
MIC,05/30/19 09:06,0.49878,-0.2,1.9455,1.3868,1.3367,0.086479,1.6873
MIC,06/02/2019 10:06,0.44685,0.31078,0.94422,0.15303,-0.10506,0.30874,0.91946
MIC,06/04/2019 10:02,NA,NA,NA,NA,NA,NA,NA
MIC,06/09/2019 05:13,NA,NA,NA,NA,NA,NA,NA
MIC,06/13/19 08:59,NA,NA,NA,NA,NA,NA,NA
MIC,06/15/19 09:32,NA,NA,NA,NA,NA,NA,NA
MIC,06/17/19 08:45,NA,NA,NA,NA,NA,NA,NA
MIC,06/27/19 08:40,0.7588,-0.2,3.5656,3.0025,1.4708,1.6939,1.4611
MIC,06/28/19 11:00,0.44479,0.50929,0.6134,0.43702,0.96939,1.8365,1.0626
MIC,06/29/19 08:52,0.63545,0.20295,-0.2,-0.2,8.3948,3.1353,3.8786
MIC,07/04/2019 05:08,1.1366,0.80546,0.31248,1.4769,1.3302,2.226,2.0715
MIC,07/06/2019 07:15,3.2955,-0.11074,1.1112,3.0825,1.1814,0.13463,2.0898
MIC,07/11/2019 09:02,3.2761,0.4068,0.89395,2.4969,8.7587,0.29688,7.6745
MIC,07/14/19 07:02,0.91755,0.42739,2.4644,0.11674,1.684,4.7984,0.75374
MIC,07/18/19 13:47,0.44459,0.091494,2.5847,5.1586,3.5289,-0.096965,1.0939
MIC,07/20/19 13:48,0.54755,1.7656,0.84864,-0.12202,1.1398,4.229,2.7225
MIC,07/23/19 13:38,NA,NA,NA,NA,NA,NA,NA
MIC,07/28/19 04:13,0.67462,0.3358,0.86069,0.64107,0.50761,3.0551,0.74615
MIC,07/30/19 12:45,1.2177,1.0322,-0.2,-0.19999,0.75613,3.2129,2.8238
MIC,08/03/2019 06:41,1.0506,0.1163,0.62811,-0.036587,-0.02053,0.22835,1.899
MIC,08/06/2019 10:00,0.67113,2.6796,0.84372,1.5051,4.5288,0.14316,1.8997
MIC,08/13/19 07:32,1.1548,2.9357,1.7362,0.38553,0.95826,0.73761,1.3313
MIC,08/15/19 12:07,0.40483,-0.2,6.1866,2.5203,2.676,0.55329,1.7406
MIC,08/19/19 13:13,-0.2,2.5911,3.8719,0.21024,0.59112,0.75461,1.3329
MIC,08/23/19 11:15,0.85071,1.5859,0.48212,0.035111,2.8061,2.2141,1.2247
MIC,08/24/19 07:09,0.30498,1.5924,0.31529,-0.033167,0.14154,0.064403,1.5274
MIC,08/26/19 09:21,NA,NA,NA,NA,NA,NA,NA
MIC,09/03/2019 09:23,-0.17369,1.1342,1.0119,0.42499,1.8812,1.7717,1.0924
MIC,09/06/2019 11:46,NA,NA,NA,NA,NA,NA,NA
MIC,09/08/2019 08:05,-0.2,0.28628,0.71932,0.75604,7.0347,4.4727,0.88098
MIC,09/11/2019 10:05,NA,NA,NA,NA,NA,NA,NA
MIC,09/14/19 04:10,0.2389,1.4851,1.0174,0.30246,0.90653,-0.032838,1.1883
MIC,09/16/19 06:57,NA,NA,NA,NA,NA,NA,NA
MIC,09/23/19 12:14,0.042667,0.75226,2.0334,4.5692,1.457,-0.2,1.0803
MIC,09/26/19 13:27,1.3156,0.17732,2.0725,1.2793,-0.15083,1.3011,1.7449
MIC,10/01/2019 09:37,0.89234,6.5149,1.7783,0.1806,2.0049,1.7097,0.90219
MIC,10/04/2019 06:33,NA,NA,NA,NA,NA,NA,NA
MIC,10/06/2019 09:30,0.3963,-0.12568,0.95292,0.042218,0.10055,0.80841,0.5831
MIC,10/09/2019 10:12,1.2171,0.8903,2.2127,0.79431,0.89484,0.8427,0.41508
MIC,10/15/19 09:22,0.61096,0.2626,1.4296,1.116,-0.17563,0.37113,0.80854
MIC,10/18/19 05:05,NA,NA,NA,NA,NA,NA,NA
MIC,10/20/19 05:37,-0.050091,3.8611,2.2032,3.6742,1.3359,0.21058,0.62388
MIC,10/23/19 09:26,1.5009,1.5919,2.1861,0.068536,0.49639,1.0393,0.92862
MIC,10/26/19 07:58,0.64084,1.3683,0.66182,0.4659,1.0704,2.7845,0.21474
MIC,10/31/19 09:08,2.4991,2.5137,1.448,1.4183,-0.098882,0.94224,0.4226
MIC,11/05/2019 09:30,NA,NA,NA,NA,NA,NA,NA
MIC,11/08/2019 08:07,0.9759,1.0162,0.16365,0.4167,1.953,0.52769,0.87539
MIC,11/10/2019 07:09,0.049678,1.0631,0.49867,0.19734,0.53208,0.041843,0.43484
MIC,11/14/19 08:59,1.1704,0.55436,0.059936,0.94562,0.70063,0.43032,0.99171
MIC,11/15/19 09:30,NA,NA,NA,NA,NA,NA,NA
MIC,11/17/19 08:39,1.3532,1.4685,0.39557,-0.0052166,1.7042,0.4773,1.4372
MIC,11/20/19 04:51,0.93276,0.94229,1.0212,0.24242,0.972,0.51249,0.62562
MIC,11/24/19 09:20,0.26464,1.6986,1.6956,1.5814,0.90828,0.10374,1.2362
MIC,11/28/19 09:40,1.6044,1.8449,2.0266,3.1527,-0.15612,-0.03457,0.49081
MIC,12/02/2019 08:15,1.4688,2.1949,2.0811,2.6599,0.92114,-0.10797,0.21114
MIC,12/05/2019 10:00,0.59164,1.5707,0.35886,0.99495,4.4133,2.0351,1.2883
MIC,12/07/2019 05:56,NA,NA,NA,NA,NA,NA,NA
MIC,12/12/2019 10:57,1.4621,3.4423,0.55039,0.5254,0.51048,1.7093,1.2395
MIC,12/14/19 12:27,NA,NA,NA,NA,NA,NA,NA
MIC,12/16/19 14:01,0.36361,0.27438,-0.065546,-0.034568,0.035168,0.34133,0.84863
MIC,12/24/19 12:03,0.75174,1.6416,0.19081,0.045081,-0.046837,1.2764,0.36699
MIC,12/27/19 09:55,0.28029,-0.2,1.9507,1.7095,-0.2,0.45296,-0.059529
MIC,12/30/19 07:25,1.3933,1.5667,1.1307,1.1352,-0.17391,0.76487,0.4277
MIC,01/01/2020 06:31,0.45519,0.26545,1.5041,0.025607,-0.09237,1.5827,0.45255
MIC,01/05/2020 06:15,NA,NA,NA,NA,NA,NA,NA
MIC,01/08/2020 13:06,0.88076,0.82982,0.098532,0.71656,1.2716,4.5182,0.57259
MIC,01/13/20 12:22,0.84215,0.93325,0.50864,0.019409,1.4908,0.32179,1.6651
MIC,01/15/20 14:30,1.4506,1.4915,-0.019213,1.6886,0.98548,1.5533,1.5466
MIC,01/18/20 04:16,0.61428,1.4093,-0.009811,1.0323,1.2737,0.74028,0.76182
MIC,01/23/20 11:29,0.44977,-0.1215,0.16883,0.58649,-0.1296,0.28024,0.48762
MIC,01/29/20 06:37,-0.15572,0.9191,1.9844,-0.026664,2.121,1.9396,1.4303
MIC,01/31/20 12:21,0.57397,1.2896,-0.01314,0.31388,-0.023763,2.4908,0.56727
MIC,02/06/2020 05:23,0.6842,0.57149,0.76777,1.7282,1.4658,-0.12685,1.2659
MIC,02/07/2020 05:51,0.40893,0.30814,1.6461,2.3684,1.0759,0.24501,0.1764
MIC,02/10/2020 10:16,1.4423,0.88438,1.0741,3.675,0.85506,0.29045,0.82113
MIC,02/14/20 06:58,2.4058,0.7956,3.8265,2.6239,2.1906,-0.031136,0.47674
MIC,02/15/20 04:35,1.9725,1.7942,0.27895,0.064017,0.64182,0.23273,0.65111
MIC,02/16/20 06:48,NA,NA,NA,NA,NA,NA,NA
MIC,02/23/20 07:35,1.4958,1.4779,2.5274,1.3689,0.63227,0.038069,0.38534
MIC,02/28/20 10:04,2.1013,1.2456,1.3828,1.5195,0.75749,0.10528,0.41484
MIC,03/01/2020 07:04,NA,NA,NA,NA,NA,NA,NA
MIC,03/03/2020 11:00,0.55967,0.62561,1.3352,1.1797,0.68039,-0.045262,0.59096
MIC,03/08/2020 08:54,1.5703,1.802,3.4575,2.5657,-0.070566,0.0042152,0.85634
MIC,03/09/2020 07:20,2.6792,1.8917,0.41485,0.091903,0.44533,0.039772,1.1901
MIC,03/16/20 09:37,NA,NA,NA,NA,NA,NA,NA
MIC,03/19/20 05:21,2.4835,1.2755,0.045044,-0.2,0.34553,2.6195,1.0519
MIC,03/24/20 11:35,0.79792,0.50942,0.48682,0.42912,0.024608,0.2839,0.96804
MIC,03/26/20 11:30,0.82086,0.96355,-0.083949,0.0036212,-0.070431,0.17052,1.2031
MIC,03/28/20 10:26,0.24131,0.67922,0.49363,1.2491,-0.19398,0.56663,0.5678
MIC,03/30/20 09:42,0.90699,1.1709,0.26728,1.2762,0.12798,1.7297,0.55252
MIC,04/06/2020 11:27,0.70745,1.5488,-0.004831,1.1682,0.022751,0.73238,1.2416
MIC,04/07/2020 11:29,NA,NA,NA,NA,NA,NA,NA
MIC,04/11/2020 07:42,1.1232,0.91308,1.3767,0.29699,-0.036658,-0.2,1.1681
MIC,04/14/20 14:21,1.2398,0.27089,1.3026,0.99294,-0.0024755,0.48269,0.61863
MIC,04/19/20 12:00,0.69359,0.46677,0.62618,1.0168,0.051426,0.044174,0.65631
